"No.","Time","Source","Destination","Protocol","Length","Info"
"804","489.912775","131.243.1.10","7.82.237.222","TCP","58","21  >  7485 [SYN, ACK] Seq=1007098652 Ack=2842551018 Win=17520 Len=0 MSS=1460"
"982","559.299725","152.191.35.146","128.3.28.48","TCP","74","34528  >  21 [SYN] Seq=2757745484 Win=4452 Len=0 MSS=1484 SACK_PERM=1 TSval=444325 TSecr=0 WS=1"
"983","559.299954","128.3.28.48","152.191.35.146","TCP","74","21  >  34528 [SYN, ACK] Seq=3739857697 Ack=2757745485 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=2268192013 TSecr=444325 WS=1"
"989","562.418579","128.3.28.48","152.191.35.146","FTP","120","Response: 220 <domain> FTP server (Version wu-2.6.1-20) ready."
"993","562.728994","152.191.35.146","128.3.28.48","FTP","82","Request: USER anonymous"
"1028","570.447473","152.191.35.146","128.3.28.48","TCP","74","34530  >  21 [SYN] Seq=2780329856 Win=4452 Len=0 MSS=1484 SACK_PERM=1 TSval=445440 TSecr=0 WS=1"
"1076","585.219385","152.191.35.146","128.3.28.48","TCP","74","34532  >  21 [SYN] Seq=2799027952 Win=4452 Len=0 MSS=1484 SACK_PERM=1 TSval=446917 TSecr=0 WS=1"
"1232","672.104564","45.7.36.127","131.243.2.12","TCP","62","2945  >  21 [SYN] Seq=1291332707 Win=8192 Len=0 MSS=1460 SACK_PERM=1"
"1233","672.104926","131.243.2.12","45.7.36.127","TCP","62","21  >  2945 [SYN, ACK] Seq=4224685611 Ack=1291332708 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"1235","672.310384","131.243.2.12","45.7.36.127","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"1236","672.483689","45.7.36.127","131.243.2.12","FTP","70","Request: USER anonymous"
"1628","822.100125","161.126.87.140","131.243.1.10","TCP","62","1819  >  21 [SYN] Seq=2931886122 Win=64240 Len=0 MSS=1452 SACK_PERM=1"
"1629","822.100687","131.243.1.10","161.126.87.140","TCP","58","21  >  1819 [SYN, ACK] Seq=3250326095 Ack=2931886123 Win=17424 Len=0 MSS=1460"
"1631","822.184713","131.243.1.10","161.126.87.140","FTP","60","Response: 220-"
"1661","822.287007","161.126.87.140","131.243.1.10","FTP","70","Request: USER anonymous"
"1720","848.339938","91.198.76.64","131.243.1.10","TCP","74","61149  >  21 [SYN] Seq=2133859527 Win=5840 Len=0 MSS=1414 SACK_PERM=1 TSval=16744644 TSecr=0 WS=1"
"1721","848.340543","131.243.1.10","91.198.76.64","TCP","58","21  >  61149 [SYN, ACK] Seq=1099545148 Ack=2133859528 Win=16968 Len=0 MSS=1460"
"1723","848.479401","131.243.1.10","91.198.76.64","FTP","60","Response: 220-"
"1755","848.632771","91.198.76.64","131.243.1.10","FTP","70","Request: USER anonymous"
"1893","907.085868","161.126.87.140","131.243.1.10","TCP","62","1824  >  21 [SYN] Seq=2951351270 Win=64240 Len=0 MSS=1452 SACK_PERM=1"
"1978","917.242797","161.126.87.140","131.243.1.10","TCP","62","1826  >  21 [SYN] Seq=2953685133 Win=64240 Len=0 MSS=1452 SACK_PERM=1"
"2260","1005.801986","189.214.156.168","131.243.1.10","TCP","62","3017  >  21 [SYN] Seq=1637976573 Win=8760 Len=0 MSS=536 SACK_PERM=1"
"2261","1005.802550","131.243.1.10","189.214.156.168","TCP","58","21  >  3017 [SYN, ACK] Seq=3816381822 Ack=1637976574 Win=16616 Len=0 MSS=1460"
"2263","1006.493435","131.243.1.10","189.214.156.168","FTP","60","Response: 220-"
"2287","1008.383030","189.214.156.168","131.243.1.10","FTP","70","Request: USER anonymous"
"2293","1009.621110","173.112.82.221","131.243.1.10","TCP","78","3887  >  21 [SYN] Seq=4090061794 Win=44620 Len=0 MSS=1460 WS=8 TSval=0 TSecr=0 SACK_PERM=1"
"2294","1009.621960","131.243.1.10","173.112.82.221","TCP","58","21  >  3887 [SYN, ACK] Seq=4144702575 Ack=4090061795 Win=17520 Len=0 MSS=1460"
"2296","1009.801197","131.243.1.10","173.112.82.221","FTP","60","Response: 220-"
"2329","1010.025599","173.112.82.221","131.243.1.10","FTP","70","Request: USER anonymous"
"2458","1058.658334","168.254.152.132","131.243.2.12","TCP","62","2523  >  21 [SYN] Seq=1546644010 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"2459","1058.658563","131.243.2.12","168.254.152.132","TCP","62","21  >  2523 [SYN, ACK] Seq=4275810114 Ack=1546644011 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"2461","1058.888768","131.243.2.12","168.254.152.132","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"2465","1059.083599","168.254.152.132","131.243.2.12","FTP","70","Request: USER anonymous"
"2604","1110.250958","4.251.189.14","131.243.1.10","TCP","74","37465  >  21 [SYN] Seq=2480776528 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=85092584 TSecr=0 WS=1"
"2605","1110.251485","131.243.1.10","4.251.189.14","TCP","58","21  >  37465 [SYN, ACK] Seq=299187676 Ack=2480776529 Win=17520 Len=0 MSS=1460"
"2607","1110.346829","131.243.1.10","4.251.189.14","FTP","60","Response: 220-"
"2637","1110.454190","4.251.189.14","131.243.1.10","FTP","70","Request: USER anonymous"
"2727","1130.548455","148.111.20.136","131.243.1.10","TCP","74","51858  >  21 [SYN] Seq=2511075633 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=24353085 TSecr=0 WS=1"
"2728","1130.549012","131.243.1.10","148.111.20.136","TCP","58","21  >  51858 [SYN, ACK] Seq=3387262940 Ack=2511075634 Win=17520 Len=0 MSS=1460"
"2730","1130.646036","131.243.1.10","148.111.20.136","FTP","60","Response: 220-"
"2760","1130.754412","148.111.20.136","131.243.1.10","FTP","70","Request: USER anonymous"
"2946","1187.419124","168.254.152.132","131.243.2.12","TCP","62","1466  >  21 [SYN] Seq=1576231986 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"2947","1187.419406","131.243.2.12","168.254.152.132","TCP","62","21  >  1466 [SYN, ACK] Seq=4292362850 Ack=1576231987 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"3035","1210.970672","249.44.109.25","128.3.28.48","TCP","74","1286  >  21 [SYN] Seq=2594401953 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=195399166 TSecr=0 WS=1"
"3036","1210.971413","128.3.28.48","249.44.109.25","TCP","74","21  >  1286 [SYN, ACK] Seq=134197193 Ack=2594401954 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=2268257174 TSecr=195399166 WS=1"
"3039","1211.280232","128.3.28.48","249.44.109.25","FTP","120","Response: 220 <domain> FTP server (Version wu-2.6.1-20) ready."
"3041","1211.383184","249.44.109.25","128.3.28.48","FTP","82","Request: USER anonymous"
"3070","1212.344161","249.44.109.25","128.3.28.48","TCP","74","1288  >  21 [SYN] Seq=2585326590 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=195399304 TSecr=0 WS=1"
"3103","1214.338147","249.44.109.25","128.3.28.48","TCP","74","1290  >  21 [SYN] Seq=2593112408 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=195399503 TSecr=0 WS=1"
"3479","1319.138518","55.84.210.42","131.243.1.10","TCP","62","3552  >  21 [SYN] Seq=3664903931 Win=32767 Len=0 MSS=1324 SACK_PERM=1"
"3480","1319.139029","131.243.1.10","55.84.210.42","TCP","58","21  >  3552 [SYN, ACK] Seq=3783934135 Ack=3664903932 Win=17212 Len=0 MSS=1460"
"3482","1319.353546","131.243.1.10","55.84.210.42","FTP","60","Response: 220-"
"3512","1319.827810","55.84.210.42","131.243.1.10","FTP","70","Request: USER anonymous"
"3570","1349.116272","82.143.24.12","131.243.2.12","TCP","62","3868  >  21 [SYN] Seq=1278870484 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"3571","1349.116552","131.243.2.12","82.143.24.12","TCP","62","21  >  3868 [SYN, ACK] Seq=18157420 Ack=1278870485 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"3573","1349.395655","131.243.2.12","82.143.24.12","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"3574","1349.593305","82.143.24.12","131.243.2.12","FTP","70","Request: USER anonymous"
"3621","1368.002076","232.8.175.74","131.243.1.10","TCP","58","63068  >  21 [SYN] Seq=3108712002 Win=8760 Len=0 MSS=1460"
"3622","1368.002631","131.243.1.10","232.8.175.74","TCP","58","21  >  63068 [SYN, ACK] Seq=3387660695 Ack=3108712003 Win=17520 Len=0 MSS=1460"
"3624","1368.316500","131.243.1.10","232.8.175.74","FTP","60","Response: 220-"
"3654","1368.646572","232.8.175.74","131.243.1.10","FTP","70","Request: USER anonymous"
"3770","1397.507006","178.214.186.1","131.243.1.10","TCP","74","60407  >  21 [SYN] Seq=3726390522 Win=5840 Len=0 MSS=1380 SACK_PERM=1 TSval=119568921 TSecr=0 WS=1"
"3771","1397.507598","131.243.1.10","178.214.186.1","TCP","58","21  >  60407 [SYN, ACK] Seq=3033698578 Ack=3726390523 Win=16560 Len=0 MSS=1460"
"3773","1398.286787","131.243.1.10","178.214.186.1","FTP","60","Response: 220-"
"3815","1401.921394","178.214.186.1","131.243.1.10","FTP","70","Request: USER anonymous"
"3846","1407.795061","178.214.186.1","131.243.1.10","TCP","74","60415  >  21 [SYN] Seq=3962290439 Win=5840 Len=0 MSS=1380 SACK_PERM=1 TSval=119569951 TSecr=0 WS=1"
"4225","1555.077767","232.8.175.74","131.243.1.10","TCP","58","63072  >  21 [SYN] Seq=3132369786 Win=8760 Len=0 MSS=1460"
"4304","1562.660435","232.8.175.74","131.243.1.10","TCP","58","63074  >  21 [SYN] Seq=3133455060 Win=8760 Len=0 MSS=1460"
"4586","1652.098510","152.191.35.146","128.3.28.48","TCP","74","34722  >  21 [SYN] Seq=3924136716 Win=4452 Len=0 MSS=1484 SACK_PERM=1 TSval=553606 TSecr=0 WS=1"
"4890","1844.469748","216.43.247.103","131.243.1.10","TCP","74","58752  >  21 [SYN] Seq=3247196764 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=1909298758 TSecr=0 WS=1"
"4891","1844.470400","131.243.1.10","216.43.247.103","TCP","58","21  >  58752 [SYN, ACK] Seq=3225932124 Ack=3247196765 Win=17520 Len=0 MSS=1460"
"4893","1845.196837","131.243.1.10","216.43.247.103","FTP","60","Response: 220-"
"4923","1845.946238","216.43.247.103","131.243.1.10","FTP","70","Request: USER anonymous"
"4950","1850.699881","16.69.134.221","131.243.2.12","TCP","62","4517  >  21 [SYN] Seq=3465098127 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"4951","1850.700183","131.243.2.12","16.69.134.221","TCP","62","21  >  4517 [SYN, ACK] Seq=83179557 Ack=3465098128 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"4955","1851.287624","131.243.2.12","16.69.134.221","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"4956","1851.466020","16.69.134.221","131.243.2.12","FTP","70","Request: USER anonymous"
"5230","1905.844067","150.70.97.75","131.243.1.10","TCP","74","2130  >  21 [SYN] Seq=3301524672 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=342513391 TSecr=0 WS=1"
"5231","1905.844691","131.243.1.10","150.70.97.75","TCP","58","21  >  2130 [SYN, ACK] Seq=2892670080 Ack=3301524673 Win=17520 Len=0 MSS=1460"
"5234","1906.024084","131.243.1.10","150.70.97.75","FTP","60","Response: 220-"
"5264","1906.215761","150.70.97.75","131.243.1.10","FTP","70","Request: USER anonymous"
"5461","2256.864522","250.225.145.152","131.243.1.10","TCP","62","1267  >  21 [SYN] Seq=2007889 Win=8192 Len=0 MSS=536 SACK_PERM=1"
"5462","2256.865079","131.243.1.10","250.225.145.152","TCP","58","21  >  1267 [SYN, ACK] Seq=3464407724 Ack=2007890 Win=16616 Len=0 MSS=1460"
"5466","2262.571839","131.243.1.10","250.225.145.152","FTP","60","Response: 220-"
"5490","2265.818491","250.225.145.152","131.243.1.10","FTP","70","Request: USER anonymous"
"5537","2333.119291","18.197.41.194","131.243.1.10","TCP","58","25202  >  21 [SYN] Seq=3498156635 Win=32768 Len=0 MSS=1460"
"5538","2333.119799","131.243.1.10","18.197.41.194","TCP","58","21  >  25202 [SYN, ACK] Seq=2192896636 Ack=3498156636 Win=17520 Len=0 MSS=1460"
"5540","2333.277847","131.243.1.10","18.197.41.194","FTP","60","Response: 220-"
"5570","2333.447475","18.197.41.194","131.243.1.10","FTP","70","Request: USER anonymous"
"5598","2345.851666","237.180.56.133","131.243.1.10","TCP","62","3276  >  21 [SYN] Seq=1323715783 Win=16384 Len=0 MSS=1360 SACK_PERM=1"
"5599","2345.852128","131.243.1.10","237.180.56.133","TCP","58","21  >  3276 [SYN, ACK] Seq=16825282 Ack=1323715784 Win=17680 Len=0 MSS=1460"
"5601","2346.723601","131.243.1.10","237.180.56.133","FTP","60","Response: 220-"
"5631","2347.643369","237.180.56.133","131.243.1.10","FTP","70","Request: USER anonymous"
"5651","2353.779108","18.197.41.194","131.243.1.10","TCP","58","25574  >  21 [SYN] Seq=3570394930 Win=32768 Len=0 MSS=1460"
"5732","2404.733566","82.143.24.12","131.243.2.12","TCP","62","3262  >  21 [SYN] Seq=3123447665 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"5733","2404.733883","131.243.2.12","82.143.24.12","TCP","62","21  >  3262 [SYN, ACK] Seq=155435433 Ack=3123447666 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"5773","2475.883014","44.120.49.173","109.103.64.27","TCP","58","4936  >  21 [SYN] Seq=24263792 Win=8192 Len=0 MSS=1460"
"5774","2475.884892","109.103.64.27","44.120.49.173","TCP","58","21  >  4936 [SYN, ACK] Seq=2687898557 Ack=24263793 Win=1460 Len=0 MSS=1460"
"5776","2475.963426","109.103.64.27","44.120.49.173","FTP","86","Response: 220 <domain> FTP Server Ready "
"5777","2476.038895","44.120.49.173","109.103.64.27","FTP","70","Request: USER anonymous"
"5800","2481.569778","82.143.24.12","131.243.2.12","TCP","62","1089  >  21 [SYN] Seq=3148109521 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"5801","2481.570053","131.243.2.12","82.143.24.12","TCP","62","21  >  1089 [SYN, ACK] Seq=165493444 Ack=3148109522 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"5816","2489.559743","44.120.49.173","62.159.77.154","TCP","58","2007  >  21 [SYN] Seq=24271237 Win=8192 Len=0 MSS=1460"
"5817","2489.561462","62.159.77.154","44.120.49.173","TCP","58","21  >  2007 [SYN, ACK] Seq=323899999 Ack=24271238 Win=2920 Len=0 MSS=1460"
"5819","2489.639775","62.159.77.154","44.120.49.173","FTP","77","Response: 220 FTP server ready."
"5820","2489.716219","44.120.49.173","62.159.77.154","FTP","70","Request: USER anonymous"
"5840","2492.080593","44.120.49.173","44.76.136.98","TCP","58","2207  >  21 [SYN] Seq=24272692 Win=8192 Len=0 MSS=1460"
"5841","2492.081230","44.76.136.98","44.120.49.173","TCP","62","21  >  2207 [SYN, ACK] Seq=2072705664 Ack=24272693 Win=49152 Len=0 MSS=1460 SACK_PERM=1"
"5843","2492.360598","44.76.136.98","44.120.49.173","FTP","86","Response: 220 <domain> FTP server ready."
"5844","2492.437366","44.120.49.173","44.76.136.98","FTP","70","Request: USER anonymous"
"5878","2517.622359","44.120.49.173","189.246.241.212","TCP","58","4143  >  21 [SYN] Seq=24286673 Win=8192 Len=0 MSS=1460"
"5879","2517.623564","189.246.241.212","44.120.49.173","TCP","58","21  >  4143 [SYN, ACK] Seq=433599999 Ack=24286674 Win=2920 Len=0 MSS=1460"
"5880","2517.628304","44.120.49.173","123.47.104.102","TCP","58","4144  >  21 [SYN] Seq=24286687 Win=8192 Len=0 MSS=1460"
"5881","2517.630106","123.47.104.102","44.120.49.173","TCP","58","21  >  4144 [SYN, ACK] Seq=2037642685 Ack=24286688 Win=1460 Len=0 MSS=1460"
"5883","2517.702385","189.246.241.212","44.120.49.173","FTP","77","Response: 220 FTP server ready."
"5885","2517.710097","123.47.104.102","44.120.49.173","FTP","86","Response: 220 <domain> FTP Server Ready "
"5886","2517.725048","44.120.49.173","4.18.95.135","TCP","58","4151  >  21 [SYN] Seq=24286770 Win=8192 Len=0 MSS=1460"
"5887","2517.726621","4.18.95.135","44.120.49.173","TCP","58","21  >  4151 [SYN, ACK] Seq=238665728 Ack=24286771 Win=23360 Len=0 MSS=536"
"5890","2517.779322","44.120.49.173","189.246.241.212","FTP","70","Request: USER anonymous"
"5892","2517.784574","44.120.49.173","123.47.104.102","FTP","70","Request: USER anonymous"
"5895","2517.804955","4.18.95.135","44.120.49.173","FTP","98","Response: 220 FTP Server, type 'quote help' for help"
"5926","2519.130780","44.120.49.173","48.248.244.161","TCP","58","4266  >  21 [SYN] Seq=24287624 Win=8192 Len=0 MSS=1460"
"5927","2519.132533","48.248.244.161","44.120.49.173","TCP","58","21  >  4266 [SYN, ACK] Seq=3781889981 Ack=24287625 Win=1460 Len=0 MSS=1460"
"5929","2519.213457","48.248.244.161","44.120.49.173","FTP","87","Response: 220 <domain> FTP Server Ready. "
"5930","2519.289226","44.120.49.173","48.248.244.161","FTP","70","Request: USER anonymous"
"5975","2541.372768","82.143.24.12","131.243.2.12","TCP","62","3147  >  21 [SYN] Seq=3168390350 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"5976","2541.372973","131.243.2.12","82.143.24.12","TCP","62","21  >  3147 [SYN, ACK] Seq=173414354 Ack=3168390351 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"6063","2606.054495","250.225.145.152","131.243.1.10","TCP","62","1290  >  21 [SYN] Seq=2356647 Win=8192 Len=0 MSS=536 SACK_PERM=1"
"6116","2677.584041","82.143.24.12","131.243.2.12","TCP","62","3610  >  21 [SYN] Seq=3216165529 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6117","2677.584440","131.243.2.12","82.143.24.12","TCP","62","21  >  3610 [SYN, ACK] Seq=192217504 Ack=3216165530 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"6186","2769.867612","69.157.45.176","131.243.2.12","TCP","62","2479  >  21 [SYN] Seq=2787842498 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"6187","2769.867867","131.243.2.12","69.157.45.176","TCP","62","21  >  2479 [SYN, ACK] Seq=204329644 Ack=2787842499 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"6189","2770.117376","131.243.2.12","69.157.45.176","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"6190","2770.335283","69.157.45.176","131.243.2.12","FTP","70","Request: USER anonymous"
"6236","2819.158148","143.156.1.2","131.243.2.12","TCP","62","3167  >  21 [SYN] Seq=598276253 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6237","2819.158405","131.243.2.12","143.156.1.2","TCP","62","21  >  3167 [SYN, ACK] Seq=212715356 Ack=598276254 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"6239","2819.363407","131.243.2.12","143.156.1.2","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"6240","2819.540377","143.156.1.2","131.243.2.12","FTP","70","Request: USER anonymous"
"6310","2868.194999","47.125.91.135","131.243.2.12","TCP","62","1300  >  21 [SYN] Seq=238381077 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6311","2868.195313","131.243.2.12","47.125.91.135","TCP","62","21  >  1300 [SYN, ACK] Seq=220102631 Ack=238381078 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"6313","2868.401256","131.243.2.12","47.125.91.135","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"6315","2868.576089","47.125.91.135","131.243.2.12","FTP","70","Request: USER anonymous"
"6390","2914.830573","24.190.46.234","131.243.1.10","TCP","58","48576  >  21 [SYN] Seq=2413775609 Win=8760 Len=0 MSS=1460"
"6391","2914.831238","131.243.1.10","24.190.46.234","TCP","58","21  >  48576 [SYN, ACK] Seq=159066750 Ack=2413775610 Win=17520 Len=0 MSS=1460"
"6393","2914.861045","131.243.1.10","24.190.46.234","FTP","60","Response: 220-"
"6423","2914.904041","24.190.46.234","131.243.1.10","FTP","70","Request: USER anonymous"
"6490","3023.725069","75.16.160.171","131.243.2.12","TCP","74","55508  >  21 [SYN] Seq=217413204 Win=65535 Len=0 MSS=1460 WS=1 TSval=1929749 TSecr=0"
"6491","3023.725277","131.243.2.12","75.16.160.171","TCP","74","21  >  55508 [SYN, ACK] Seq=242020474 Ack=217413205 Win=65535 Len=0 TSval=314246494 TSecr=1929749 WS=2 MSS=1460"
"6493","3024.020699","131.243.2.12","75.16.160.171","FTP","149","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"6494","3024.284467","75.16.160.171","131.243.2.12","FTP","82","Request: USER anonymous"
"6518","3044.037779","244.173.253.244","131.243.2.12","TCP","74","51770  >  21 [SYN] Seq=99526660 Win=65535 Len=0 MSS=1460 WS=1 TSval=1780416 TSecr=0"
"6519","3044.038082","131.243.2.12","244.173.253.244","TCP","74","21  >  51770 [SYN, ACK] Seq=244740850 Ack=99526661 Win=65535 Len=0 TSval=314248525 TSecr=1780416 WS=2 MSS=1460"
"6520","3044.263430","90.227.190.180","131.243.2.12","TCP","62","3904  >  21 [SYN] Seq=1987179967 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6521","3044.263663","131.243.2.12","90.227.190.180","TCP","62","21  >  3904 [SYN, ACK] Seq=244866349 Ack=1987179968 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"6524","3044.475979","131.243.2.12","90.227.190.180","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"6525","3044.656070","90.227.190.180","131.243.2.12","FTP","70","Request: USER anonymous"
"6529","3044.839871","131.243.2.12","244.173.253.244","FTP","149","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"6531","3045.103918","244.173.253.244","131.243.2.12","FTP","82","Request: USER anonymous"
"6564","3049.266388","244.173.253.244","131.243.2.12","TCP","74","53665  >  21 [SYN] Seq=370338452 Win=65535 Len=0 MSS=1460 WS=1 TSval=1780427 TSecr=0"
"6565","3049.266616","131.243.2.12","244.173.253.244","TCP","74","21  >  53665 [SYN, ACK] Seq=245543545 Ack=370338453 Win=65535 Len=0 TSval=314249048 TSecr=1780427 WS=2 MSS=1460"
"6598","3053.392552","244.173.253.244","131.243.2.12","TCP","74","55120  >  21 [SYN] Seq=582556104 Win=65535 Len=0 MSS=1460 WS=1 TSval=1780435 TSecr=0"
"6599","3053.392768","131.243.2.12","244.173.253.244","TCP","74","21  >  55120 [SYN, ACK] Seq=246161602 Ack=582556105 Win=65535 Len=0 TSval=314249461 TSecr=1780435 WS=2 MSS=1460"
"6723","3119.361988","171.142.200.244","131.243.1.10","TCP","74","33011  >  21 [SYN] Seq=301681035 Win=5808 Len=0 MSS=1412 SACK_PERM=1 TSval=1202176 TSecr=0 WS=1"
"6724","3119.362511","131.243.1.10","171.142.200.244","TCP","58","21  >  33011 [SYN, ACK] Seq=3969871644 Ack=301681036 Win=16944 Len=0 MSS=1460"
"6726","3119.550830","131.243.1.10","171.142.200.244","FTP","60","Response: 220-"
"6756","3119.795245","171.142.200.244","131.243.1.10","FTP","70","Request: USER anonymous"
"6765","3120.128461","217.148.52.180","203.174.5.11","TCP","62","3241  >  21 [SYN] Seq=31237828 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6766","3120.129719","203.174.5.11","217.148.52.180","TCP","58","21  >  3241 [SYN, ACK] Seq=605120000 Ack=31237829 Win=32768 Len=0 MSS=1460"
