"No.","Time","Source","Destination","Protocol","Length","Info"
"5449","1651.385144","4.251.189.14","131.243.1.10","TCP","74","60211  >  21 [SYN] Seq=2626169397 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=50541110 TSecr=0 WS=1"
"5450","1651.385673","131.243.1.10","4.251.189.14","TCP","58","21  >  60211 [SYN, ACK] Seq=2750398034 Ack=2626169398 Win=17520 Len=0 MSS=1460"
"5452","1651.480803","131.243.1.10","4.251.189.14","FTP","60","Response: 220-"
"5484","1651.586841","4.251.189.14","131.243.1.10","FTP","70","Request: USER anonymous"
"5559","1662.452948","168.254.152.132","131.243.2.12","TCP","62","2135  >  21 [SYN] Seq=2745912265 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"5560","1662.453223","131.243.2.12","168.254.152.132","TCP","62","21  >  2135 [SYN, ACK] Seq=3081988221 Ack=2745912266 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"5562","1663.082917","131.243.2.12","168.254.152.132","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"5565","1663.265414","168.254.152.132","131.243.2.12","FTP","70","Request: USER anonymous"
"5616","1672.220350","191.27.3.166","131.243.1.10","TCP","62","37624  >  21 [SYN] Seq=2232748994 Win=64240 Len=0 MSS=1460 SACK_PERM=1"
"5617","1672.221118","131.243.1.10","191.27.3.166","TCP","58","21  >  37624 [SYN, ACK] Seq=1063806196 Ack=2232748995 Win=17520 Len=0 MSS=1460"
"5620","1672.435065","131.243.1.10","191.27.3.166","FTP","60","Response: 220-"
"5650","1672.661733","191.27.3.166","131.243.1.10","FTP","70","Request: USER anonymous"
"5806","1704.245888","8.113.23.107","128.3.12.44","TCP","74","10514  >  21 [SYN] Seq=3051394548 Win=57344 Len=0 MSS=1460 WS=1 TSval=1914132 TSecr=0"
"5807","1704.246735","128.3.12.44","8.113.23.107","TCP","54","21  >  10514 [SYN, ACK] Seq=315136000 Ack=3051394549 Win=4096 Len=0"
"5812","1704.570530","128.3.12.44","8.113.23.107","FTP","136","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Mon Dec 3 12:18:44 PST 2001) ready."
"5814","1704.755858","8.113.23.107","128.3.12.44","FTP","70","Request: USER anonymous"
"6013","1748.319671","249.44.109.25","128.3.28.48","TCP","74","4136  >  21 [SYN] Seq=2714954371 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=160843415 TSecr=0 WS=1"
"6014","1748.319863","128.3.28.48","249.44.109.25","TCP","74","21  >  4136 [SYN, ACK] Seq=316150400 Ack=2714954372 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=2233700777 TSecr=160843415 WS=1"
"6018","1748.635078","128.3.28.48","249.44.109.25","FTP","120","Response: 220 <domain> FTP server (Version wu-2.6.1-20) ready."
"6020","1748.738171","249.44.109.25","128.3.28.48","FTP","82","Request: USER anonymous"
"6044","1749.645162","249.44.109.25","128.3.28.48","TCP","74","4140  >  21 [SYN] Seq=2725840120 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=160843548 TSecr=0 WS=1"
"6082","1751.604047","249.44.109.25","128.3.28.48","TCP","74","4200  >  21 [SYN] Seq=2720602644 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=160843744 TSecr=0 WS=1"
"6083","1751.604234","128.3.28.48","249.44.109.25","TCP","74","21  >  4200 [SYN, ACK] Seq=318982615 Ack=2720602645 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=2233701105 TSecr=160843744 WS=1"
"6108","1753.308423","79.37.53.67","131.243.2.12","TCP","62","39753  >  21 [SYN] Seq=1877665772 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6109","1753.308666","131.243.2.12","79.37.53.67","TCP","62","21  >  39753 [SYN, ACK] Seq=3098118334 Ack=1877665773 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"6234","1769.241618","30.146.52.247","131.243.1.10","TCP","62","2439  >  21 [SYN] Seq=816570905 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"6298","1773.335523","30.146.52.247","131.243.1.10","TCP","62","2440  >  21 [SYN] Seq=590354120 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"6347","1775.555577","79.37.53.67","203.174.5.11","TCP","62","38586  >  21 [SYN] Seq=1893612447 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"6548","1801.718783","66.165.111.206","131.243.1.10","TCP","62","4559  >  21 [SYN] Seq=1923057539 Win=64800 Len=0 MSS=1440 SACK_PERM=1"
"6549","1801.719557","131.243.1.10","66.165.111.206","TCP","58","21  >  4559 [SYN, ACK] Seq=912690079 Ack=1923057540 Win=17280 Len=0 MSS=1460"
"6552","1802.008506","131.243.1.10","66.165.111.206","FTP","60","Response: 220-"
"6582","1802.310563","66.165.111.206","131.243.1.10","FTP","70","Request: USER anonymous"
"6793","1823.936074","6.57.196.120","131.243.1.10","TCP","74","2302  >  21 [SYN] Seq=2322712151 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=262567166 TSecr=0 WS=1"
"6794","1823.936515","131.243.1.10","6.57.196.120","TCP","58","21  >  2302 [SYN, ACK] Seq=1655586281 Ack=2322712152 Win=17520 Len=0 MSS=1460"
"6796","1824.113399","131.243.1.10","6.57.196.120","FTP","60","Response: 220-"
"6826","1824.326961","6.57.196.120","131.243.1.10","FTP","70","Request: USER anonymous"
"6891","1832.866284","6.57.196.120","131.243.1.10","TCP","74","2304  >  21 [SYN] Seq=2346003212 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=262568058 TSecr=0 WS=1"
"7162","1884.543232","30.146.52.247","131.243.1.10","TCP","62","2450  >  21 [SYN] Seq=1083272609 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"7253","1891.443693","30.146.52.247","131.243.1.10","TCP","62","2455  >  21 [SYN] Seq=765647945 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"7254","1891.443693","30.146.52.247","131.243.1.10","TCP","62","2454  >  21 [SYN] Seq=1293574387 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"7255","1891.443963","30.146.52.247","131.243.1.10","TCP","62","2456  >  21 [SYN] Seq=1443972475 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"7448","1899.357119","30.146.52.247","131.243.1.10","TCP","62","2461  >  21 [SYN] Seq=1643152422 Win=8192 Len=0 MSS=1380 SACK_PERM=1"
"7667","1938.564968","179.192.184.110","131.243.1.10","TCP","62","34259  >  21 [SYN] Seq=2240561738 Win=16384 Len=0 MSS=1402 SACK_PERM=1"
"7668","1938.565540","131.243.1.10","179.192.184.110","TCP","58","21  >  34259 [SYN, ACK] Seq=646769491 Ack=2240561739 Win=16824 Len=0 MSS=1460"
"7671","1938.758223","131.243.1.10","179.192.184.110","FTP","60","Response: 220-"
"7701","1939.076475","179.192.184.110","131.243.1.10","FTP","70","Request: USER anonymous"
"7952","2009.692460","40.159.39.117","131.243.2.12","TCP","62","1350  >  21 [SYN] Seq=3819789687 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
"7953","2009.692686","131.243.2.12","40.159.39.117","TCP","62","21  >  1350 [SYN, ACK] Seq=3146029596 Ack=3819789688 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"7956","2010.280261","131.243.2.12","40.159.39.117","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"7957","2010.459962","40.159.39.117","131.243.2.12","FTP","70","Request: USER anonymous"
